cause,effect,explanation
Radishes are planted near cole crops.,Many flea beetles have been attracted.,Fleas attract fleas.
He was a monotheist.,He believes in only one god.,Monotheism is the belief in one god with no other gods.
This patient has difficulty in breathing.,He cannot inhale air normally.,Breathing requires air.
There was a virus spreading in the air of Tom's class.,He suffered from the smallpox.,Smallpox is one of the leading causes of smallpox death.
Jessy was thinking whether to go for a trip.,She gave up in case of drastic consequences.,Impact is defined as the loss of one's life due to an event.
The patient didn't believe he got Carcinoids.,The doctor showed him samples of his Neuroendocrine cells of endodermal derivation.,Carcinoids are present in a wide variety of cell types.
There are four seasons.,They subdivide a whole year.,Division is the division of a season.
Jack and his boss had a resignation problem.,He brought a lawsuit against the company.,Shrinks cause problems.
The stowaway escaped by the boat.,The policeman didn't catch him.,Stowaways are presumed to be uninhabited animals.
Tom has a fever.,Doctors think Tom's fever is caused by infection.,Infestation can cause fever.
Scientists observe the difference between haploid and diploid cells.,Scientists have discovered the process of mitosis in both.,Mitosis occurs when a haploid cell is mitotic.
Students want to cool the hot water in a rapid way.,They bought a chiller in a joint venture.,Chiller is used to cool water in rapid ways.
We don't know what oxalate is.,Our teacher tells us it is a by-product of digestion.,Oxalates are by-products of the digestive process.
I took my pet to see a vet.,He diagnoised my pet with fever.,Diagnoisation is a symptom of fever.
Sam only keeps hens.,Sam's hens can lay eggs.,Hens lay eggs by laying their eggs in the air.
It is not too hot but a little wet at this time in summer.,Weevils were born.,Fertilization is the process of producing offspring.
Tom always touches his eyes with his dirty hands.,He has suffered the trachoma.,Trachoma is a common eye disease caused by touching the eyes.
He processes flaxseeds.,He gets some concentrated phytoestrogens.,Flaxseed is the most concentrated of all the flaxseed species.
Tom is an ecologist.,He acknowledges linear approaches.,Ecology is a linear approach to the management of biodiversity.
This streetcar girder rail is dyed green.,We can see the green concrete paving of this rail.,Girder has green concrete.
Coniferous trees have needles in winter.,The conifers survived the winter.,Conifers survive in warm climates.
"Hydration comes from pure, clean water.",We need to drink water to maintain proper hydration.,Hydration is the process of drinking water.
The superior leader is responsible for teaching skills.,The new waiter knew how to communicate with the guests.,Guests have skills.
Lisa had scorpionfish for lunch.,She got stuck in her throat by the bones of the scorpionfish.,Sticks have teeth.
The teacher asked the students to choose a mammal with the same body heat.,One student chose lemmings.,Lemmings have similar body heat to mammals.
He wants a feeding service.,He turned to his father.,Fathers serve.
I want to know the name of female reproductive structures in flowers.,My mom tells me it is stigma.,Stigma is a female reproductive structure.
My research interest is about Literature.,I should concentrate on the writing of a time a place an era.,Librarians write about literature.
John wants to have a scientific study of the complex water systems of the Earth and help solve water problems.,He chooses hydrology as his major.,Hydrology is the study of complicated water systems in the Earth's atmosphere.
Yuan Longping has made a great contribution to solving the problem of people's starving.,He was considered as one of the greatest hero in the history.,Sufferers suffer from hunger.
Tom is a jockey who is controlling his weight recently.,He is able to control the riding rhythm well in horseback riding competitions.,Jockeys use their bodies to control their weight.
John decided to travel in the summer vacation.,He left his hometown for Venice.,Venice is one of the most beautiful places in the world.
He was sentenced to prison.,He surprisingly found that prisoners could read in the reading room and learn about the outside world through TV.,Prisoners have ability.
Tom bought some artifacts in a store.,The store owner said it was made by himself.,Artifacts are made by men.
Tom wants to go to space.,He aspired to be an astronaut.,Astronauts are astronauts.
The man  planned to make Tin  by himslef.,"He found cassiterite, carbon and  furnace.",Cassiterite is a silvery-white metal.
Scientists extract substances from plasma.,Scientists have extracted all kinds of substances.,Pulsars contain substances.
He added a lot of Bacillus to the soil.,The structure of the soil has changed.,Bacillus plays a significant role in shaping the structure of soil.
There is several little insects on the tree.,They were hunted by the spider.,Spiders eat little insects.
Time passed year after year.,The wrinkles on my mother's face are getting more and more.,Rigidity is caused by overexposure to sunlight.
There are many states in the world.,They all have their own political leaders.,States have leaders.
We added fertilizer to this field.,This field benefited.,Fertilizer provides benefits.
John was shocked by the existence of the extinct relatives of modern cephalopods.,He got immersed in articles about Ammonites.,Ammonites are among the most extinct of all the extinct mammals.
