John was studying the cellular composition of mammals. He found a lot of taurine.,Taurine is found in high concentrations in mammalian cells.,"

Taurine is one of the most abundant amino acids in the body."
Mother told Kate how the Osprey carried food. Kate felt surprised and novel.,Osprey have a unique way of carrying their food.,"

Ospreys are very social animals."
The doctor touched the subject's breast. The subjects' heart rates varied widely.,Breasts are sensitive to touch as they have many nerve endings., One study found that women with a history of breast cancer had significantly lower rates of heart rate variability.
The country lacks carbohydrates. They are short of the primary source of fuel.,Carbohydrates are our primary source of fuel.,"

Protein is one of the main sources of protein in the diet."
Harry keeps pairing two flying pigeons. The little pigeons that he nurtures can fly faster.,Breeding is optimized when animals are continuously retained in breeding pairs.,"

Pigeons have wings."
Scientists want to study narwhals in the summer. Scientists arrived in the ice free coastal areas of the Arctic highlands to investigate.,Narwhals spend the summer in ice-free coastal areas of the high arctic.,"

Narcissists have long been known to spend summers in the Arctic."
Tom got infected by something unknown. He was diagnosed with a kind of syndrome.,Syndromes associate with infection., It's a type of infection caused by a virus.
Alan coated his skin with beeswax. He tore off the beeswax and successfully depilated.,Depilation is the removal of hair from the surface of the skin.,"

Beeswax is an essential component of beekeeping."
Tom's father is a chef. He has a recipe of the dishes that he is good at.,Chefs have recipes.,"

""I love cooking."
The experimenter expected the Paramecium has a special way of consuming food. He was surprised at their ways similar to multicellular animals.,Paramecium consume food much like multicellular animals.,"

""Paramecium is one of the most abundant phytoplankton in the world,""."
The kid hoped to stay away from learning. She didn't cared about her latency.,Latency is one measure of learning., She wanted to learn.
The chemist is drawing a tree of the platinum group of metals. He draws ruthenium as one branch of the tree.,Ruthenium belongs in the platinum group of metals., The platinum group is the most abundant metal in the world.
"A few microbes live in this lake. Several days later, this lake is filled with microbes.",Microbes breed quickly in water., Microbes feed on the water.
The cattle accidentally ingested nitrate. The cattle was poisoned.,Livestock are susceptible to nitrate poisoning especially cattle., Nitrate is a neurotoxin.
The wound left during an accident causes great pain for Tom. He eats some capsaicin and the pain is mitigated.,Capsaicin blocks pain impulses.,"

Capsaicin is one of the most effective pain relievers in the body."
The chaps ran into problems. They managed to slove the problems.,Chaps have brains.,"

""I didn't want to be a problem,"" said one of the chaps."
The chemistry teacher used some polymers for experiments. The experiment produced a lot of smoke.,Polymers are a significant source of smoke.,"

Chemistry is a science, not a science."
Tom listened to the advice from his teacher. He learned about his teacher's experience as well.,Advice bases on own experience.,"

""My teacher is a very good teacher,"" he said."
His father often smokes. His father was getting weak and suffering from lung cancer.,Smoking affects physical fitness., His mother also suffers from chronic bronchitis.
Tom was hungry when he got up. His mother cooked some custards and milk for him.,Custards serve with milk.,"

""He said he didn't want to eat anything."
Lymphocytes around the patient's buttom got disease. The surrounding vessels were influenced.,Lymphocytes surround a vessel near the bottom.,"

Methanol is one of the most common drugs used to treat breast cancer."
Linda has suffered from constipation for a week. She eats some laxatives and her colon expels shit swiftly from the bowel.,Laxatives irritate the colon to make it expel debris from the bowel.,"

""I eat laxatives every day,"" she says."
A peccarie was attacked by a snake with venom. This peccarie was unharmed.,Peccaries are immune to some snake venoms.,"

Peccarie are venomous snakes."
I ran out of ammunition for my crossbow. My friend found more small bolts for me.,Crossbows use small bolts as ammunition., I had to find a way to use them.
Anything containing caustic mixtures of chemicals should not be casually thrown. Batteries should not be casually thrown.,Batteries contain caustic mixtures of chemicals.,"

Batteries contain caustics."
